week,measure,food
4,size,poppy seed
5,size,sesame seed
6,size,lentil
7,size,blueberry
8,size,kidney bean
9,size,grape
10,size,kumquat
11,size,fig
12,size,lime
13,length,peapod
14,size,lemon
15,size,apple
16,size,avocado
17,size,turnip
18,size,bell pepper
19,size,heirloom tomato
20,length,banana
21,length,carrot
22,size,spaghetti squash
23,size,large mango
24,length,ear of corn
25,size,rutabaga
26,length,scallion
27,size,head of cauliflower
28,size,large eggplant
29,size,butternut squash
30,size,large cabbage
31,size,coconut
32,size,jicama
33,size,pineapple
34,size,cantaloupe
35,size,honeydew melon
36,length,head of romaine lettuce
37,length,bunch of Swiss chard
38,length,leek
39,size,mini-watermelon
40,size,small pumpkin
